"Grab";"Bestattungsnummer";"Bestattungsbezeichnung";"Bestattungsbeschreibung";"Bestattungsmodus";"Bestattungsausrichtung";"Bestattungserhaltung";"Bestattungslage"
835;852;"Körperbestattung";"Skelett schlecht erhalten, aber hinreichend nachweisbar; adult";2;4;2;1
836;853;"Körperbestattung";"Schlecht erhaltenes Skelett; mind. adult, männlich?";2;12;3;1
837;854;"Körperbestattung";"Sehr mäßig erhaltenes Skelett, Infans I; sehr leicht angewinkelte Beine";2;12;2;11
838;855;"Körperbestattung";"Relativ gut erhaltenes Skelett; matur, eher männlich?";2;4;1;1
839;856;"Körperbestattung";"Skelett gut erhalten; frühadult [wohl 20-30jährig], weiblich";2;12;1;1
840;857;"Körperbestattung";"Skelett relativ gut erhalten; rechter Arm lag unterhalb der rechten Beckenschaufel; matur/senil, einge Merkmale eher männlich, andere eher weiblich";2;12;1;1
841;859;"Individuum 1";"N Skelett, relativ gut erhalten; adult, männlich";2;12;1;2
841;860;"Individuum 2";"S Skelett, schlecht erhalten [nach L. von ca. 0,6 m Infans I]";2;12;3;6
842;861;"Körperbestattung";"Skelett relativ gut erhalten, linker Arm leicht angewinkelt in Beckenregion liegend; adult, wohl männlich";2;4;1;1
843;862;"Körperbestattung";"Mäßig erhaltenes Skelett, rechter Arm in Beckenbereich, linker Arm abgespreizt [man hat den Eindruck, als ob gesamter Oberkörper zur Seite gedrückt worden sei (einbrechende Kammerdecke?), insofern könnte Armhaltung auch lange nach Grablege erfolgt sein]; ";2;12;3;1
844;863;"Körperbestattung";"Skelett schlecht erhalten, aber noch hinreichend nachweisbar: in rechter Seitenlage, Beine leicht angezogen; matur?, eher weiblich";2;12;2;1
845;864;"Körperbestattung";"Skelett gut nachweibar, Arme weit abgespreizt [Körperumfang?]; adult, eher weiblich";2;11;1;1
846;865;"Körperbestattung";"Mäßig erhaltenes Skelett; Infans II [wohl 10-12jährig]";2;12;2;1
847;866;"Körperbestattung";"Sehr schlecht erhaltenes Skelett; infans (I)";2;12;3;1
848;867;"Zentralgrab";"Stark gestörtes Skelett, adult, männlich [nach Wagner 1908, 111 Sterbealter von 50-60]";2;9;3;11
850;869;"Körperbestattung";"Schädel und wenige Bruchstücke vom postkranialen Skelett; wahrscheinlich weiblich; Mitte 20 [angeblich S-N-orientiert]";2;9;3;11
852;871;"Körperbestattung";"Skelett [Erhaltung?]";2;9;3;11
854;873;"Körperbestattung";"Skelett, Knochen sehr mürbe";2;5;1;1
855;874;"Brandbestattung?";"Verbrannte Knochenreste, menschlich?";3;9;3;11
856;875;"Körperbestattung";"Geringes Zahnfragment, läßt nach Zürn auf jugendliches Individuum schließen";2;9;3;11
857;876;"Körperbestattung";"Weiblich, Anfang 20";2;5;1;1
858;877;"Körperbestattung";"Verstreute Skelettreste; wahrscheinlich männlich, adult";2;9;3;11
859;878;"Körperbestattung";"Adult, weiblich";2;5;1;1
861;880;"Körperbestattung";"Weiblich, adult";2;4;2;11
862;881;"Körperbestattung";"Einzelner Schädel";2;9;3;11
863;882;"Körperbestattung";"Da der mittlere Teil des Skelettes vollständig fehlt, eventuell antik beraubt";2;5;3;1
864;883;"Körperbestattung";"erwachsenes Individuum, ca. 1,7 m lang";2;14;3;11
865;884;"Körperbestattung";"Sehr großes Individuum (1,8-1,9 m)";2;5;2;11
866;885;"Körperbestattung";"Nur wenige Knochen erhalten, erwachsen, eher männlich";2;9;3;11
867;886;"Körperbestattung";"Wenige Skelettreste";2;5;3;11
868;887;"Körperbestattung";"Zahnreste, nach Zürn jugendlich [gemeint ist wohl: nicht-erwachsen; nach Ehrhardt jedoch weder Alter noch Geschlecht bestimmbar]";2;7;3;11
869;888;"Körperbestattung";"Geringe Skelettreste";2;9;3;11
870;889;"Körperbestattung";"Weibliches, adultes Individuum";2;5;2;1
871;890;"Körperbestattung";"Erwachsenes Individuum, 1,4 m groß";2;5;2;1
872;891;"Körperbestattung";"Adultes Individuum, 1,6 m lang";2;5;3;11
873;892;"Körperbestattung";"[nach anthropologischer Bestimmung 2 Individuen: frühadult; 11jährig (Zähne); allerdings widerspricht auch die Bestimmung bei Grab 5 Zürns Beschreibung; insofern scheinen Verwechslungen nicht ausgeschlossen]";2;14;3;11
874;893;"Körperbestattung";"[nach anthropologischer Bestimmung adult bis matur mit abgekauten Zähnen; nach Zürn Zähne noch nicht abgekaut; nach Plan keine Schädelknochen erhalten, nach Ehrhardt aber zahlreiche erhalten; folglich dürfte Verwechslung vorliegen]";2;3;3;1
875;894;"Körperbestattung";"Körperbestattung, völlig vergangen";2;9;3;11
876;895;"4/7";"Körperbestattung";2;9;3;11
877;896;"Körperbestattung";"Körperbestattung, nur noch in Resten erhalten";2;9;3;11
878;897;"Körperbestattung";"Eher männlich, erwachsen";2;3;2;1
879;898;"Körperbestattung";"Skelett vergangen, nach Lage der Ringe (0,8 m) wohl infantiles Individuum";2;7;4;11
880;899;"Körperbestattung";"Wahrscheinlich weiblich, Ende 30";2;14;1;1
881;900;"Körperbestattung";"Infans I, nur Schädel erhalten";2;14;2;11
882;901;"Körperbestattung";"senil, männlich";2;14;1;11
883;902;"Körperbestattung";"Schlecht erhaltene Körperbestattung";2;5;3;11
884;903;"Körperbestattung";"Infans II bis juvenil";2;14;2;1
888;907;"Körperbestattung";"Adult, weiblich?";2;5;1;1
889;908;"Körperbestattung";"Adult";2;16;2;1
890;909;"Körperbestattung";"Um 40 Jahre, männlich?; 1,6-1,7 m lang";2;5;2;1
891;910;"Körperbestattung";"Schlecht erhaltene Körperbestattung [nach Körperlänge wohl mindestens juvenil]";2;12;2;2
892;911;"Körperbestattung";"Schlecht erhaltenes Kind [nach Größe von 1,10 m wohl Infans]";2;5;3;11
893;912;"Körperbestattung";"Eher männlich, matur (über 40 Jahre)";2;13;2;1
894;913;"Körperbestattung";"Wahrscheinlich männlich, Anfang 20jährig";2;5;1;1
895;914;"Körperbestattungen";"Matur?";2;9;3;11
896;915;"Körperbestattung";"Männlich, adult; Beine im Verhältnis zu Oberkörper abgewinkelt";2;5;2;11
897;916;"Körperbestattung";"Nicht bestimmbare Skelettreste";2;5;3;11
899;918;"Körperbestattung";"Adutl (Ende 30 Jahre?), weiblich?";2;9;3;11
900;919;"Körperbestattung?";"Keine Skelettreste erhalten";2;9;4;11
905;926;"Körperbestattung";"Wohl vollkommen vergangene Körperbestattung in Rückenlage [nach Länge wohl mind. juvenil]";2;5;4;1
906;927;"Körperbestattung";"Zahnreste eines 10-12jährigen Individuums";2;5;2;1
907;928;"Körperbestattung";"Schlecht erhaltenes Skelett eines unter 18jährigen Individuums";2;5;3;1
909;930;"Körperbestattung";"Schlecht erhaltenes Skelett, 14-18jährig";2;5;2;1
910;931;"Körperbestattung";"Schlecht erhaltenes Skelett, weiblich, erwachsen";2;5;3;1
911;932;"Körperbestattung";"Gestörtes Skelett eines 8-12jährigen Individuums";2;5;3;11
912;933;"Körperbestattung";"Verwühlte Skelettteile";2;9;3;11
914;935;"Körperbestattung";"Schlecht erhaltenes Skelett [nach Lage der Beigaben relativ klein, evtl. noch juvenil? zumindest infans II oder älter]";2;5;3;1
916;937;"Körperbestattung";"Nur noch Zähne erhalten [nach Länge mind. infans II]";2;7;3;11
918;939;"Körperbestattung";"Schlecht erhaltenes Skelett [Orientierung nach O mit Tendenz nach OSO]; 20-30jährig, eher weiblich";2;3;2;1
920;941;"Körperbestattung";"Nur Zähne erhalten, von Erwachsenem, stark abradiert [Orientierung eindeutig nach N]";2;1;3;1
921;942;"Körperbestattung";"Schlecht erhaltenes Skelett [nach Länge aber mind. juvenil]";2;7;3;1
922;943;"Körperbestattung";"Gestörtes Skelett, erwachsen, eher weiblich";2;5;3;1
923;944;"Körperbestattung?";"Keine Skelettreste erhalten [nach Fibellage wohl S-N-orientiert]";2;5;4;11
924;945;"Körperbestattung";"Skelettreste eines jugendlichen Individuums [wohl mind. infans II]";2;5;3;11
925;946;"Körperbestattung";"Schlecht erhaltenes Skelett, eines unter 18jährigen, eher weiblichen Individuums [also wohl mind. juvenil]";2;9;3;11
926;947;"Körperbestattung";"Gestörtes Skelett eines jugendlichen Individuums, nicht älter als 12jährig [soll wohl heißen: infans II]";2;9;3;11
927;948;"Körperbestattung";"Wohl vergangene Körperbestattung, nach Beigaben sö ausgerichtet";2;4;4;11
928;949;"Körperbestattung";"Skelett, auf linker Seite mit leicht angehockten Beinen, 1,2-1,3 m lang [demnach wohl infans II/juvenil; Orientierung nach SW mit Tendenz nach WSW]";2;6;1;1
929;950;"Körperbestattung";"Schlecht erhaltenes Skelett [nach Text mit Kopf im S, nach Plan mit Kopf im N; hier wird Text gefolgt; nach Länge von 1,6 m mind. juvenil]";2;5;2;11
930;951;"Körperbestattung";"Skelett, 1,6-1,7 m lang [danach mind. juvenil; nach schematisiertem Plan in gestreckter Rückenlage]";2;6;2;11
938;960;"Körperbestattung";"Offenbar leicht gestörtes Skelett, 20-30jährig";2;13;2;11
939;961;"Körperbestattung";"Mäßig erhaltenes Skelett [Orientierung nach NNO mit Tendenz nach NO], um 30jährig, männlich";2;10;2;1
940;962;"Körperbestattung";"Skelett [Orientierung nach SO mit starker Tendenz nach SSO], Beine etwas nach W verschoben; nach Zahnabrasion 18-20jährig";2;4;1;1
941;963;"Körperbestattung";"Gut erhaltenes Skelett, 30jährig";2;6;1;1
942;964;"Körperbestattung";"Skelett, mit eng beieinanderliegenden Unterschenkeln; um 20jährig, eher weiblich";2;5;1;1
945;967;"Körperbestattung";"Vollständige Skelett [nur Unterkiefer fehlt, dafür nicht zugehöriger Unterkiefer überzählig; vermutlich moderne Vertauschung]; männlich, senil; Parierfraktur an Ulna";2;9;3;11
955;978;"Körperbestattung?";"Wohl Körperbestattung, kein Skelett erhalten";2;9;4;11
956;979;"Brandbestattung";"Leichenbrand";3;9;3;11
968;991;"Körperbestattung";"Skelett, angeblich S-N-orientiert [Erhaltung?]";2;9;3;11
969;992;"Körperbestattung";"Skelettreste";2;9;3;11
971;995;"Körperbestattung";"Skelett, angeblich eines 60-70jährigen Mannes, angeblich NW-SO-orientiert";2;9;3;11
973;997;"Körperbestattung";"Skelett eines angeblich 12jährigen Kindes, angeblich O-W-ausgerichtet";2;9;3;11
977;1001;"Körperbestattung";"Skelett, angeblich NO-SW-orientiert; angeblich 35jähriger Mann";2;9;3;11
982;1006;"Körperbestattung";"Skelettreste";2;9;3;11
983;1007;"Körperbestattung";"Skelett, angeblich SO-NW-orientiert";2;9;3;11
984;1008;"Individuum 1";"Skelett";2;9;3;11
984;2833;"Individuum 2";"Skelett";2;9;3;11
985;1009;"Individuum 1";"Skelett; angeblich SW-NO-orientiert";2;9;3;11
985;2834;"Individuum 2";"Skelett";2;9;3;11
986;1010;"Körperbestattung";"Skelett [Zuordnung von anthropologischer Bestimmung bei Ehrhardt unsicher; danach Schädel; männlich, 30-40 Jahre; hier jedoch nicht berücksichtigt; angeblich S-N-orientiert]";2;9;3;11
987;1011;"Körperbestattung";"Skelett, eines angeblich etwa 60jährigen Individuum, angeblich SSO-NNW-orientiert";2;9;3;11
993;1018;"Körperbestattung";"Schädel und wenige Bruchstücke des postkranialen Skeletts; wahrscheinlich weiblich, Anfang 20; Unterarme unnatürlich nach außen gedreht [Orientierung angeblich S-N]";2;9;2;11
994;1019;"Körperbestattung";"Skelett [Erhaltung?]";2;9;3;11
995;1020;"Körperbestattung";"Skelett [Erhaltung?]";2;9;3;11
1004;1029;"Körperbestattung";"Skelett, männlich, etwa 60jährig";2;9;3;11
1005;1030;"Körperbestattung";"Mäßig erhaltenes Skelett; adult [nach Ehrhardt; nach Paret weiblich, Anfang 20; allerdings unklar, woher diese Bestimmung stammt]";2;9;3;11
1006;1031;"Körperbericht";"Skelett [Erhaltung?]";2;9;3;11
1007;1032;"Körperbestattung";"Skelett, wohl in gestreckter Rückenlage [Erhaltung?]";2;13;3;11
1008;1034;"Körperbestattung";"Mäßig erhaltenes Skelett [nach Augenschein mindestens juvenil]";2;4;2;1
1008;1035;"Brandbestattung";"Leichenbrand in Gefäß";3;9;2;4
1009;1036;"Körperbestattung";"Skelett, 40-50jährig, männlich, ca. 1,87 m groß";2;5;1;8
1011;1038;"Körperbestattung?";"Keine Skelettreste erhalten";2;9;4;11
1022;1050;"Brandbestattung";"Leichenbrand";3;9;3;11
1023;1051;"Körperbestattung";"Schädel, gestört";2;9;3;11
1024;1052;"Körperbestattung";"Skelett ""eines jungen Mädchens oder einer zart gebauten Frau"" [wohl mind. juvenil]";2;9;3;11
1025;1053;"Brandbestattung";"Leichenbrand";3;9;3;11
1026;1054;"Körperbestattung";"Skelett in gestreckter Rückenlage, mit Kopf ungefähr im N";2;9;3;11
1027;1055;"Körperbestattung";"""Weibl. Skelett"" in Rückenlage [wohl mind. juvenil, sonst hätte Sautter entsprechendes vermerkt]";2;9;3;11
1028;1056;"Brandbestattung";"Leichenbrandkonzentration";3;9;3;11
1033;1061;"Körperbestattung";"Skelett [Erhaltung?], angeblich W-O-orientiert";2;9;3;11
1046;1075;"Körperbestattung?";"Wohl Skelett";2;9;3;11
1047;1076;"Körperbestattung?";"Wohl Skelett";2;9;3;11
1054;1083;"Körperbestattung";"vor allem Schädelteile; männlich, über 50jährig; angeblich SW-NO-orientiert";2;9;3;11
1057;1087;"Körperbestattung";"Skelett eines ""3-5jährigen Kindes""";2;9;3;11
1058;1088;"Körperbestattung";"Verstreute Knochen";2;9;3;11
1059;1089;"Körperbestattung";"Skelettreste";2;4;3;1
1061;1091;"Körperbestattung";"Geringe Skelettreste";2;12;3;11
1063;1093;"Körperbestattung";"Einzelner Knochen";2;9;3;11
1066;1096;"Körperbestattung";"Skelett, nur von Hüfte abwärts erhalten [nach L. wohl mind. juvenil]; Unterschenkel leicht angewinkelt [evtl., um überhaupt ins Grab zu passen?]";2;5;3;1
1067;1097;"Körperbestattung";"Skelettreste";2;11;3;1
1068;1098;"Körperbestattung";"Schlecht erhaltenes Skelett";2;4;3;1
1069;1099;"Körperbestattung";"Schlecht erhaltenes Skelett, Schädel nach W gewandt [L. ca. 1,75 m]";2;5;2;1
1070;1100;"Körperbestattung";"Fast vergangenes Skelett";2;13;3;1
1071;1101;"Körperbestattung";"Fast vergangenes Skelett";2;13;3;1
1072;1102;"Körperbestattung";"Geringe Skelettreste";2;13;3;1
1073;1103;"Körperbestattung";"Fast vergangenes Skelett";2;5;3;1
1074;1104;"Körperbestattung";"Leidlich erhaltenes Skelett";2;4;2;1
1075;1105;"Körperbestattung";"Mäßig erhaltenes Skelett in Seitenlage und angezogenen Beinen";2;6;2;1
1076;1106;"Körperbestattung";"Fast vollkommen vergangenes Skelett";2;14;3;1
1077;1107;"Körperbestattung";"Skelett mäßig erhalten, leicht gestört, Knochen z. T. verschoben; Beine leicht angewinkelt, linker Arm in Beckengegend";2;5;3;1
1079;1109;"Körperbestattung";"Geringe Skelettreste, mit Milchzähnen [danach infans, nach L. von unter 1 m wohl Infans I; nach anthropologischer Analyse 3-5jährig]";2;4;3;1
1080;1110;"Körperbestattung";"Skelettreste";2;6;3;11
1081;1111;"Körperbestattung";"Zersprengte Skelettreste, weiblich, frühadult [wohl hier 20-30jährig]";2;13;3;8
1082;1112;"Brandbestattung";"Leichenbrandhäufchen";3;9;1;1
1083;1113;"Körperbestattung";"Mäßig erhaltenes Skelett [nach L. von fast 2 m mind. juvenil]";2;12;2;1
1084;1114;"Körperbestattung";"Gut erhaltenes Skelett, rechter Arm leicht angewinkelt in Beckengegend";2;6;1;11
1085;1115;"Körperbestattung";"Skelett in Resten erhalten, Oberkörper evtl. leicht gedreht, da beide Unterarme auf rechter Seite lagen";2;13;2;1
1087;1117;"Körperbestattung";"Gut erhaltenes Skelett [nach L. von mind. 1,7 m mind. juvenil]";2;4;1;1
1088;1118;"Körperbestattung";"Skelett mäßig erhalten, mit reichem Trachtschmuck; rechter Arm leicht in rechter Beckenregion liegend [L. wohl mind. 1,6 m, also wohl juvenil oder älter]";2;14;2;1
1089;1119;"Körperbestattung";"Versprengte Skelettreste, matur, männlich";2;4;3;7
1090;1120;"Körperbestattung";"Skelett relativ gut erhalten, rechter Arm in Beckengegend liegend [nach L. von ca. 1,6 mind. juvenil]";2;12;1;11
1091;1121;"Körperbestattung";"Wenige Skelettreste";2;1;3;11
1092;1122;"Körperbestattung";"Mäßig erhaltenes Skelett [Orientierung nach SSW mit starker Tendenz nach S; nach L. von bis zu 1,8 m mind. juvenil]";2;14;2;1
1093;1123;"Körperbestattung";"Gut erhaltenes Skelett, 14-16jährig, männlich";2;3;1;1
1095;1125;"Körperbestattung";"Geringe Skelettreste [nach Ringgröße Kind]";2;13;3;1
1097;1127;"Körperbestattung";"Geringe Skelettreste";2;9;3;11
1098;1128;"Körperbestattung";"Skelett mäßig erhalten, mit leicht angewinkelten Beinen [Orientierung nach ONO mit starker Tendenz nach NO]";2;11;2;1
1100;1130;"Körperbestattung";"Geringe Knochenreste [Orientierung nach SSO mit Tendenz nach SO]";2;13;3;11
1102;1132;"V,2";"Grab V,2";3;9;0;11
1103;1133;"Körperbestattung";"Mäßig erhaltenes Skelett, dessen Oberkörperbereich verlagert ist [L. mind. 1,5 m, also wohl mind. juvenil]";2;13;3;8
1104;1134;"Brandbestattung";"Leichenbrandteilchen";3;9;3;11
1105;1135;"Körperbestattung";"Mäßig erhaltenes Skelett [Orientierung nach NO mit starker Tendenz nach NNO]";2;2;2;1
1106;1136;"Körperbestattung";"Skelettreste, möglicherweise Doppelbestattung, Erwachsener + Kind";2;9;3;11
1111;1139;"Grab 3";"Leichenbrand in Gefäß";3;9;2;3
1112;1140;"Grab 4";"Leichenbrand";3;1;2;8
1113;1141;"5";"Leichenbrand";3;17;2;4
1114;1142;"6";"Leichenbrandpartikel, offensichtlich nicht anthropologisch untersucht";3;9;3;11
1115;1143;"7";"Leichenbrand";3;9;2;2
1116;1144;"8";"Ausgelesener Leichenbrand, aber auch in Brandschicht Leichenbrandreste";3;9;2;6
1117;1145;"9";"vor allem Arm- + Beinknochen erhalten; Blick nach W";2;5;3;11
1118;1146;"10/I";"Nur einige Zähne erhalten + Teile der Arm- + Beinknochen";2;5;3;11
1118;1147;"10/II";"Keine Aussage; könnte auch von Grab 9 stammen";2;9;3;11
1119;1148;"11";"Brandbestattung in Schüttung, aber auch mit LB in Brandschicht; in anthropologischem Bericht werden außerdem unverbrannte Fragmente erwähnt, von Ettel jedoch nicht, vermutlich, weil er von Vermischung mit Grab 9 bzw. 11 ausgeht";3;17;2;9
1120;1149;"12";"Leichenbrand";3;9;2;8
1121;1150;"13";"Leichenbrand, nach Anthropologin frühsenil";3;9;3;9
1122;1151;"14";"Leichenbrand in Gefäß; nach Aussage der Anthropologin auch unverbrannte Fragmente dabei";3;9;2;2
1124;1153;"16";"verstreute Leichenbrandreste auf ca. 0,2 qm Fläche verteilt; an einer Stelle stärker konzentriert";3;9;2;9
1125;1154;"Grab 19";"Sehr schlecht erhaltene Körperbestattung";2;9;3;2
1126;1155;"Grab 17";"Leichenbrandreste";3;9;3;11
1127;1156;"18";"Leichenbrandreste";3;9;2;9
1128;1157;"20";"Leichenbrandschüttung";3;9;2;9
1129;1158;"21";"Leichenbrandreste";3;9;2;11
1130;1159;"22";"Leichenbrand";3;9;2;1
1131;1160;"23";"Leichenbrand";3;9;3;11
1132;1161;"24";"Leichenbrand";3;9;2;4
1133;1162;"25";"Leichenbrand";3;9;3;11
1134;1163;"26";"Leichenbrand, Tendenz Frau";3;9;2;11
1135;1164;"27";"Leichenbrand ehemals vorhanden, aber verschollen";3;9;4;11
1136;1165;"28";"Leichenbrand, Tendenz Frau";3;9;3;11
1137;1166;"29";"Leichenbrandpartikelchen";3;9;3;11
1138;1167;"30";"Leichenbrand";3;9;2;11
1139;1168;"31";"Leichenbrand";3;9;2;11
1140;1169;"32";;3;9;2;11
1141;1170;"33";"evtl. Leichenbrand erhalten; unklar, da kein detaillierter Grabungsbericht vorliegt und die Funde verschollen sind";3;9;4;11
1142;1171;"34";"5-6 Jahre altes Individuum";3;9;2;4
1143;1172;"35";;3;9;3;11
1144;1173;"36";"Leichenbrandreste";3;9;3;11
1145;1174;"37";"Leichenbrand sowohl in Brandschüttung als auch in Urne";3;9;2;4
1146;1175;"38";"Leichenbrand, evtl. in Urne bestattet";3;9;2;1
1147;1176;"39";"Leichenbrand";3;9;4;11
1148;1177;"40";"Leichenbrand, offensichtlich im N + NW ausgestreut";3;9;3;2
1149;1178;"41";;3;9;2;8
1150;1179;"42";"verstreuter Leichenbrand";3;9;3;1
1151;1180;"43";;3;9;2;11
1152;1181;"45";"unklar, ob wirklich Leichenbrand gefunden wurde";3;9;4;11
1153;1182;"47";;3;9;2;8
1154;1183;"48";"Leichenbrandreste, nicht dokumentiert";3;9;4;11
1155;1184;"Erstbest.";"Leichenbrand, ausgestreut in gesamter Grabkammer und separat ausgelesen in Urne; von Anthropologin als mit hoher Wahrscheinlichkeit ein Individuum eingestuft; aufgrund der Beigaben widerspricht Ettel der Deutung als weiblich";3;9;2;2
1156;1185;"Brandbest.";;3;9;2;11
1157;1186;"Wagengrab";"Stark gestörte Körperbestattung, vermutlich im Westen gelegen + nach SSW ausgerichtet, aber unsicher";2;14;3;8
1157;1187;"Wagengrab";"nur Kieferfragment";2;9;3;11
1158;1188;"1";;3;9;3;7
1159;1189;"2";"Leichenbrand in Urne + in Brandschicht";3;9;2;9
1160;1190;"3 Erstbest.";"Leichenbrand, einerseits in Urne im NW, andererseits Leichenbrandpartikel in Brandschicht im SO";3;9;2;9
1161;1191;"3 Nachbest.";"Körperbestattung, von der 2 Partien getrennt bestimmt wurden, jeweils Tendenz Mann bzw. Frau (= unbestimmt)";2;14;3;11
1162;1192;"4 Erstbest.";;3;9;2;9
1164;1193;"4 Nachbest.";"Körperbestattung";2;9;3;11
1164;1194;"4 Nachbest.";"Körperbestattung";2;9;3;11
1165;1195;"5 Erstbest.";"Leichenbrand in Keramikgefäß";3;9;2;9
1166;1196;"5 zentrale Nachbest.";"unvollständige Körperbestattung";2;9;3;11
1167;1197;"Nachbest. am NO-Rand";"bereits zur Hälfte weggepflügte Körperbestattung";2;4;2;1
1168;1198;"5 Nachbest. am S-Rand";"Körpergrab, männlich";2;12;2;6
1168;1199;"5 Nachbest. am S-Rand";"Körpergrab, Tendenz weiblich";2;12;2;2
1170;1200;"6 LB";"Leichenbrand, an 3 Stellen im Grab verteilt";3;9;2;11
1170;1201;"6 KG";"Skelettelemente, nicht mehr im anatomischen Verband";2;9;3;1
1171;1202;"7 LB";"Leichenbrand in Brandschicht und im NW";3;9;3;11
1171;1203;"7 KB";"Verstreute Skelettelemente";2;9;3;11
1172;1204;"8";"Leichenbrand in Urne";3;9;2;9
1173;1205;"9";"zusammen mit Infans I in Urne";3;9;2;8
1173;1206;"9";"zusammen mit weiblichem Individuum in Urne";3;9;2;8
1173;1207;"9";"Leichenbrand im Nordwesten, evtl. zu 2 Individuen gehörend";3;9;2;9
1174;1208;"10";"Leichenbrand";3;9;2;8
1175;1209;"11";"Leichenbrand";3;9;2;9
1175;1210;"11";;3;9;2;9
1176;1211;"12";;3;9;2;7
1177;1212;"13";;3;9;3;7
1179;1213;"15";;3;9;3;11
1180;1214;"16";"Spätjuvenil bis frühadult";3;9;3;11
1181;1215;"1";"LB einerseits in Brandschicht, andererseits im NW gestreut";3;9;2;9
1182;1216;;"Knochenreste nicht auffindbar";3;9;4;11
1182;1217;;"Knochenreste nicht auffindbar";2;9;4;11
1183;1218;;"verstreute Leichenbrandreste + 2 menschliche Zähne, offensichtlich keine Untersuchung vorgenommen";3;9;3;11
1184;1219;"4 Nachbestattungen";"nach Anthropologin nur 1 Individuum, nach archäologischem Befund 2!";2;13;3;11
1185;1220;"5";"etwas Leichenbrand";3;9;3;11
1186;1221;"7";"Neonates Individuum";3;9;2;1
1187;1222;"8";;3;9;2;11
1188;1223;"9";;3;9;2;11
1189;1224;;"Leichenbrand, aber wohl keine Bestimmung";3;9;2;8
1190;1225;"54";"verstreuter, gestörter Leichenbrand";3;9;3;2
1191;1226;"Grab 54 Brandbestattung";"Leichenbrand nicht erhalten";3;9;4;11
1192;1227;"54";;3;9;4;11
1193;1228;"57";"Leichenbrand in mehreren Portionen geborgen, deshalb genaue Zahl nicht bestimmbar; unter Voraussetzung, daß es nur ein Individuum war, deuten Untersuchungen auf adultes, unbestimmtes Individuum";3;9;3;9
1194;1229;"58";"Körperbestattung, Schädel + Beinknochen erhalten; Blickrichtung nach Westen";2;5;2;8
1195;1230;"59";"Gestörter Leichenbrand; nach Grupe spätmatur bis frühsenil";3;9;2;11
1196;1231;"60";"gestörter Leichenbrand";3;9;2;8
1197;1232;"1";;3;9;2;11
1198;1233;"1 westliches";"Skelett, von dem hauptsächlich nur noch unteren Extremitäten erhalten";2;14;2;8
1198;1234;"1 östliches";"Skelett, von dem hauptsächlich nur noch unteren Extremitäten erhalten";2;14;2;4
1199;1235;"2";"Leichenbrand, nach Grupe männlich, Alter nicht bestimmbar";3;9;2;11
1199;1236;"2";"Kleinkind";3;9;2;11
1200;1237;"3";"Leichenbrand, sowohl in Brandschicht, als auch in Urne";3;9;1;4
1201;1238;"4";;3;9;2;11
1202;1239;"5";"Leichenbrandreste gefunden, aber nicht bestimmt";3;9;3;11
1203;1240;"6";"in 2 Gefäßen und im Grabkammerbereich";3;9;2;11
1203;1241;"6";;3;9;2;11
1204;1242;"7";"Leichenbrand, gestreut auf 0,5 qm Fläche";3;9;2;3
1205;1243;"8";"Leichenbrand, auf ca. 0,05 qm verteilt";3;9;2;9
1206;1245;"11 KG";;2;9;3;11
1206;1246;"11 LB";;3;9;3;11
1207;1247;"12";;3;9;2;11
1208;1248;"13";;3;9;2;2
1209;1249;"14";"Leichenbrand verteilt in Brandschicht + in Konzentration im NO";3;9;2;3
1210;1250;"15";"Körperbestattung in 2 Partien geborgen, von Anthropologin getrennt jeweils als männlich bestimmt, was nach Ettel im Widerspruch zum eindeutig weiblichen archäologischen Befund steht; Individuum bestattet mit Blick nach O";2;5;1;1
1212;1251;"17";;3;9;2;11
1213;1252;"19";;3;9;2;11
1214;1253;"20";;3;9;2;9
1215;1254;"21";;3;9;3;8
1216;1255;"22";"Leichenbrandschüttung von 0,3 x 0,2 m, nicht untersucht";3;9;2;3
1217;1256;"Grab 1934";;3;9;3;11
1218;1257;"1";;3;9;3;11
1219;1258;"2";"Verstreute Knochenfragmente";2;9;3;7
1220;1259;"3";"Leichenbrandschüttung auf 1,5 qm im S";3;9;2;6
1221;1260;"5";"nach Lage der Arm- + Unterschenkelknochen angehocktes Skelett";2;6;3;1
1222;1261;"6";"Leichenbrand in Kammer, aber im W konzentriert";3;9;2;8
1223;1262;"7";"Leichenbrandschüttung im NW (Dm. 0,4 m), im oberen Planum über gesamte NW-Teil (0,8 x 1,6-1,8 m) streuend";3;9;2;9
1224;1263;"8";"Leichenbrand in Brandschicht + in kleinerer Streuung";3;9;2;7
1225;1264;"9";"Leichenbrand auf 1 qm verstreut";3;9;2;8
1226;1265;"10";;2;9;3;11
1227;1266;"11";;3;9;2;9
1228;1267;"12";;3;9;2;9
1229;1268;"13";;3;9;3;11
1230;1269;"14";;3;9;2;4
1232;1270;"16";;3;9;2;7
1234;1271;"18";"Leichenbrand, verteilt auf 0,2-0,25 m Durchm.";3;9;1;8
1235;1272;"19";;3;9;2;11
1237;1273;"20";;3;9;2;9
1238;1274;"21";"Leichenbrand im NW auf ca. 1 qm gestreut";3;9;2;9
1239;1275;"22";;3;9;2;8
1240;1276;"23";;3;9;3;11
1241;1277;"24 und 25";"evtl. ein Individuum (so von Ettel vermutet), dann wäre Leichenbrand auf Urne im O + Streuung im W verteilt";3;9;2;11
1242;1278;"26";"Leichenbrandstreuung im W und etwas im SO";3;9;2;8
