"Grabkomplex";"Grabnummer";"Grabbezeichnung";"Grabbeschreibung";"Grabcharakter";"Graberhaltung";"Grabausrichung";"Grabniveau";"Grubenlänge";"Grubenbreite";"Grubentiefe";"Grabkammer";"Grabkammerlänge";"Grabkammerbreite";"Mehrfachbestattung";"Grabberaubung";"Verziegelung des Bodens";""Brandschicht"";"Holzwände";"Holzdecke";"Holzboden";"Steinwände";"Steindecke";"Steinboden";"Steinpackungsdurchmesser";"Besonderheiten";"Arch_Geschlechtsbestimmung"
1303;486;"Nachbestattung 10";"Körperbestattung ö von Zentralgrab am Hügelrand [Orientierung nach Beigabenlage interpoliert]; keine Grabgrube erkennbar, geringe Skelettreste erhalten; dabei Armring, wohl in Brustgegend Fibel";"3";3;19;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1303;487;"Nachbestattung 11";"Körperbestattung n von Zentralgrab am Hügelrand; keine Grabgrube erkennbar, geringe Skelettreste erhalten; dabei 2 Armringe, wohl in Brustgegend Fibel";"3";3;18;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1303;488;"Nachbestattung 12";"Keine Grabgrube erkennbar, keine menschlichen Reste erhalten; 2 identische Schlangenfibeln w vom Zentralgrab sprechen für Grab";"3";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;2
1303;489;"Nachbestattung 13";"Wohl Grab n von Zentralgrab [ungefähr S-N-ausgerichtet], keine Grabgrube erkennbar; neben vereinzelten Skelettresten 3 kleine Ringe";"3";3;18;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;2
1303;490;"Nachbestattung 14";"Grab onö des Zentralgrabes; keine Grabgrube erkennbar, keine Skelettreste erhalten; wohl im S 2 Lanzenspitzen mit Spitze im S; nö davon Dolch mit Scheide; ö davon Holhring und Fibel";"3";2;19;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;1
1303;2385;"Nachbestattung 15";"Wohl Grab ö von Zentralgrab; keine Grabgrube erkennbar, keine menschlichen Skelettreste erhalten; lediglich Reste einer Fußzierfibel, die nach Kurz zu Grab gehören muß";"3";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;0
1303;2386;"Nachbestattung 16";"Wohl Grab onö von Zentralgrab [ungefähr N-S-orientiert[; keine Grabgrube erkennbar, keine menschlichen Reste erhalten; Stangengliederkette wohl in Körpermitte, w davon Armring, s 2 Fibeln, wohl im Brustbereich";"3";2;19;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1303;2387;"Nachbestattung 17";"Grab nnö des Zentralgrabes nahe dem Hügelrand; keine Grabgrube erkennbar, wenige menschlichen Reste bei Hals- und Armring erhalten; dazu 2 Fußzierfibeln";"3";2;19;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1303;2388;"Nachbestattung 18";"Grab nnö des Zentralgrabes nahe dem Hügelrand; keine Grabgrube erkennbar, wenige menschlichen Reste bei Armringen erhalten; dazu 2 Fußzierfibeln und 1 Ring";"3";2;19;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1303;2389;"Nachbestattung 19";"Grab n des Zentralgrabes nahe dem Hügelrand; keine Grabgrube erkennbar, wenige menschlichen Reste bei Halsring erhalten";"3";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1303;2391;"Nachbestattung 20";"Grab nnö des Zentralgrabes, relativ naheliegend; keine Grabgrube erkennbar, wenige menschliche Reste bei Halsring erhalten, n davon 1 Fußzierfibel [Orientierung nach Kurz ungefähr S-N]";"3";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1303;2392;"Nachbestattung 21";"Grab wsw des Zentralgrabes nahe dem Hügelrand; keine Grabgrube erkennbar, keine menschlichen Reste erhalten; nahe Halsring 2 Fibeln, etwas weiter entfernt Armring";"3";2;19;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1303;2393;"Nachbestattung 22";"Grab ssw des Zentralgrabes nahe dem Hügelrand [Orientierung nach Kurz S-N, evtl. aber auch SSO-NNW, in jedem Fall eher radial]; keine Grabgrube erkennbar, wenige menschliche Reste erhalten; nahebei 2 Fibeln, nw davon Armring";"3";2;18;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1303;2394;"Nachbestattung 23";"Grabkammer in mind. 0,9 m eingetiefter Grube (2,85 x 1,55 m); in kleinen Gräbchen waren Aufleger verlegt, darauf Bodenbretter, die sich noch in Resten erhalten haben; Kammerboden war evtl. mit Fell ausgelegt; in Kammermitte lag nur noch in geringen Resten";"3";2;19;2;2,85;1,55;0,90;1;2,10;1,10;0;0;0;0;0;0;1;0;0;0;;1;1
1304;507;"Grab";"Skelett [angeblich Kopf im S] auf alter Oberfläche [eingetieft?], in Beckengegend 6 Bronzeringchen, an linker Schulter Paukenfibel";"4";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;0
1305;638;"Zentralgrab";"Zentralgrab, angeblich von Pfosten umstellt; Bronzebeigaben";"2";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;1;0;;1;3
1307;684;"Bestattung";"Körperbestattung [Erst-, Nachbestattung?]; Skelett in Spuren erhalten; Halsring, dabei Fibel; an linker Seite 2 Lanzen; im Beckenbereich Gürtelblech mit Lederresten; über Blech Holzreste";"4";2;9;1;;;;1;;;0;0;0;0;0;1;0;0;0;0;;0;1
1308;870;"Grab 1";"Grabschacht, der von mächtigem Steinsatz (2,5 x 1,6 m) überdeckt war; an O-Seite der Grabgrube geringe Holzspuren; in der Mitte der Grube Skelett mit zahlreichen Beigaben, u. a. mit je einer Gagatperlenkette an beiden Handgelenken";"2";2;5;2;2,60;1,60;1,00;1;;;0;0;0;0;0;0;1;0;1;0;2,00;0;3
1308;871;"Grab 2";"Grabgrube, direkt ö von Grab 1 angelegt [Orientierung nach N mit leichter Tendenz nach NNO], mit deutlichen Holzspuren einer Kammer [derentwegen die Kammer am n Ende wohl leichte Ausbuchtungen aufweist; insgesamt eigentlich eher Sarg]; ""An der nördlichen ";"3";5;5;2;2,40;1,10;0,40;1;1,90;0,65;0;0;0;0;1;0;1;0;0;0;;1;3
1308;872;"Grab 3";"""Grabgrube [knapp ö von Grab 2 angelegt] durch die Hügelfüllung bis auf den gewachsenen Boden und noch etwas in diesen eingetieft ... Skelett schlecht erhalten, 1,6 m lang ... An Funden nur eine Scherbe.""";"3";3;5;2;2,50;1,20;;4;;;0;0;0;0;0;0;0;0;0;0;;0;0
1308;873;"Grab 4";"""Grabgrube etwas in den gewachsenen Boden eingetieft ... Darin ein schlech erhaltenes Skelett ... Keine Beigaben."" [nach anthropologischer Bestimmung 2 Individuen]";"3";3;14;2;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;0
1308;874;"Grab 5";"Grab n von Grab 1; Orientierung nach W mit Tendenz nach WNW; etwas in gewachenen Boden eingetieft; mit schlecht erhaltenem Skelett und Holzspuren";"3";2;7;2;2,65;0,85;0,10;2;;;0;0;0;0;0;0;1;0;0;0;;0;1
1308;875;"Grab 6";"Grab im SW-Quadranten des Viereckgrabens, Skelett völlig vergangen, mit einigen Beigaben noch in situ";"3";3;14;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1308;876;"Grab 7";"Grab, in die Steinpackung von Grab 1 eingebracht, gestört";"3";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;0
1309;938;"Grab";"Zentral gelegene Körperbestattung, ""0,4 m unter der modernen Oberfläche, knapp unter der kaum sichtbaren Hügelschüttung"" [d. h. auf alter Oberfläche?], keine Reste von Grabeinbauten erkennbar; zu Füßen des Skeletts Keramikgefäß, 0,3 m s des Kopfes Armring";"2";3;9;3;;;0,00;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1310;968;"Grab";"Körperbestattung unter Steinplatten; dabei Gefäßscherben, Lanzen, Fibel, Eisenreste (Schwert?)";"4";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;1;0;;0;1
1311;374;"Bestattung";"Wohl 2 Körpernachbestattungen nebeneinander (gleichzeitig?); nur in situ befindliche Metallfunde sicher zuweisbar";"4";3;9;1;;;;4;;;1;0;0;0;0;0;0;0;0;0;;0;4
1314;375;"Grab 1";"Stark gestörte Körperbestattung, 0,15 m über Grab 1; keine Grabgrube oder -einbauten erkennbar; Skelett schlecht erhalten, nur Gürtel noch in situ";"3";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1314;2542;"Grab 2";"Wohl Grabkammer [Orientierung und Ausrichtung interpoliert; Orientierung nach NNW mit starker Tendenz nach N], auf einer strukturlosen Holzkohleschicht mit unregelmäßigem Umriß (1,5 x 1,5 m) (nach Dietrich Scheiterhaufenrest), darüberhinaus verstreute Hol";"2";2;13;3;;;0,00;2;1,90;1,80;0;0;0;1;1;0;0;0;0;0;;0;0
1315;563;"Grab 1";"Wohl eingetiefte Körpernachbestattung, nö der Hügelmitte, im N unter Steinpflaster; Skelett vergangen, Trachtschmuck aber wohl in situ";"3";2;19;1;;;;4;;;0;0;0;0;0;0;0;0;1;0;;0;3
1315;564;"Grab 2";"Wohl eingetiefte Körpernachbestattung, ö der Hügelmitte, unter Steinpflaster (1,5 x 0,6 m); Skelettreste erhalten, rings darum und darüber Holzreste; keine Beigaben, aber Stein in der Hand des Toten";"3";2;19;2;;;;1;;;0;0;0;0;0;1;1;0;0;0;1,05;0;0
1315;565;"Grab 3";"Wohl eingetiefte Körperbestattung, sw der Hügelmitte, unter einem Steinpflaster, unmittelbar über Grab 4 [Zusammenhang?]; keine Beigaben";"3";3;19;1;;;;4;;;0;0;0;0;0;0;0;0;1;0;;0;0
1315;566;"Grab 5";"Wohl eingetiefte Körperbestattung, sö der Hügelmitte; Skelett in Resten erhalten; mit Trachtschmuck";"3";2;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1315;2646;"Bestattung 4";"Wohl eingetiefte Körperbestattung, sw der Hügelmitte, unmittelbar unter Grab 3 [Zusammenhang?]; keine Beigaben";"3";3;19;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;0
1316;606;"Grab";"Noch in geringen Holzspuren erhaltene Grabkammer, unter mächtiger Steinpackung (5 x 3,3 m) aus großen Brocken; geringe Skelettreste erhalten, Trachtbestandteile (Tonnenarmband, Perlenkette) aber noch in situ [interessant Lage des armringartigen Ringes in ";"2";2;5;3;;;0,00;2;;;0;0;0;0;0;0;0;0;1;0;4,15;0;3
1317;619;"Nachbestattung 1984";"Nahe der Innenkantes des Steinkreises von Hügel 5 ungestörte Nachbestattung unter einer Steinpackung, mit reichem Trachtschmuck";"3";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;1;0;;0;3
1319;877;"Grab 1";"Leicht in gewachsenen Boden eingetiefte Grabgrube im Zentrum des Kreisgrabens [Orientierung nach N mit Tendenz nach NNO], durch alte Grabung vollständig zerstört; nur noch Knochenreste und Metallfragmente erhalten";"2";3;5;2;2,85;1,25;0,20;2;;;0;0;0;0;0;0;1;0;0;0;;0;0
1319;878;"Grab 2";"Grabgrube (1,1-1,3 m B.) s von Grab 1 mit anderer Orientierung, leicht in Boden eingetieft; im Zentrum Skelett mit Beigaben";"3";2;7;2;2,30;1,20;0,20;4;;;0;0;0;0;0;0;0;0;0;0;;0;1
1319;879;"Grab 3";"Grab in ""der Schüttung der Südhälfte des Hügels, in Spatentiefe unter der Oberfläche. Skelett vollständig vergangen ...""";"3";2;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1319;880;"Grab 4";"""Die Grabgrube war deutlich sichtbar in die bestehende Hügelschüttung bis nahezu auf die Hügelsohle eingeschachtet. Spuren der östlichen Wand einer Holzkammer waren auf 1,5 m Länge noch 15 cm schräg im Boden steckend erhalten.""; gut erhaltenes Skelett in ";"3";2;14;2;;1,10;;2;;;0;0;0;0;1;0;0;0;0;0;;0;3
1319;881;"Grab 5";"Grab in der O-Hälfte des Hügels, Skelett nur noch teilweise vorhanden, ""lag auf inkohlten Holzresten (Sarg oder Totenbrett?)"", mit Trachtschmuck";"3";2;14;1;;;;4;;;0;0;0;0;0;0;1;0;0;0;;0;0
1319;882;"Grab 6";"Gut erhaltenes Skelett, in der ö Hügelhälfte";"3";2;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;0
1319;883;"Grab 7";"""0,4 m unter der Hügeloberfläche zeigten sich völlig zermürbte Knochen eines Skeletts. ... Beigaben waren keine vorhanden. Im Bereich des Grabes und über dem Skelett zeigten sich verteilt verbrannte Knochen.""";"3";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;0
1321;939;"Grab 1";"Steilwandige Grube (T. 0,5-0,6 m), osö des Hügelmittelpunkts; Bestattung durch Straßengraben im O leicht gestört; in der Grube deutlich erkennbar Holzkammer von 1,2 m B.: ""Das Fußende wurde durch einen querliegenden Balken abgeschlossen, an den sich außen";"3";3;19;2;;;0,55;1;;1,20;0;0;0;0;1;1;1;0;0;0;;1;1
1321;940;"Grab 3";"Grube, wsw des Zentralgrabes, 0,4 m in anstehenden Boden eingetieft; unter Skelett und Beigaben Reste von querliegenden Hölzern; Skelett mit leicht nach W verschobenen Beinen, mit Trachtschmuck, rechts neben den Füßen Keramik";"3";2;19;2;2,80;1,60;0,80;4;;;0;0;0;0;0;0;1;0;0;0;;0;3
1321;941;"Grab 4";"Grube (B. 0,6-0,7 m; mind. 2,6 m lang), deren Fußende durch Straßengraben abgeschnitten wurde, wnw des Zentralgrabes; über Bestattung längsverlaufende Holzreste (wohl Kammerdecke); rechts des Schädels Gürtelblech und Nadel";"3";3;19;2;;0,65;0,50;2;;;0;0;0;0;0;1;0;0;0;0;;0;1
1321;2453;"Grab 2";"Grabkammer [wohl von Erstbestattung, auf anstehendem Boden errichtet; Exzentrik wohl durch Verschleifung des Hügels verursacht], von der sich Holzspuren über und unter den Beigaben erhalten hat; Kammerinhalt und Skelett total zerwühlt; erhalten noch Schwe";"2";3;6;3;;;0,00;1;;;0;0;0;0;0;1;1;0;0;0;;0;1
1322;508;"Skelett II";"Skelett, rechts vom Kopf Eisenreste (Lanze?), auf Brust 2 Fibeln, beim Becken Gürtelblech";"4";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;1
1324;607;"Grab 2";"Wohl Grabkammer, w des Hügelzentrums, unter einer Steinpackung (2,8 x 1,2 m), keine Skelettreste beobachtet, nur ein verlagerter Bronzering";"3";3;19;1;;;;2;;;0;0;0;0;0;0;0;0;1;0;2,00;0;2
1324;608;"Grab 3";"Grabkammer, onö der Hügelmitte, 0,8 m unter der Hügeloberfläche, deren Holzwände noch in Spuren zu erkennen war, unter einer lückenhaften Steinpackung; Zahnreste erhalten, dazu Trachtschmuck";"3";2;19;1;;;;2;1,90;0,65;0;0;0;0;1;0;0;0;1;0;;0;3
1324;609;"Grab 4";"Mächtiger Steinsatz (3 x 1,7 m) aus teilweise großen Brocken, osö der Hügelmitte; keine Spuren eines Grabes";"3";3;19;1;;;;2;;;0;0;0;0;0;0;0;0;1;0;2,35;0;2
1324;610;"Grab 5";"Körperbestattung, ssö der Hügelmitte nahe des Steinkranz und auf dessen Höhe; wenige Skelettreste und einige Bronzebeigaben erhalten";"3";3;19;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;1
1324;611;"Grab 6";"Wohl Körperbestattung, osö der Hügelmitte, unmittelbar innen am Steinkranz [deshalb zwangsläufig tangential angelegt]; Bronzering mit Holzresten";"3";3;19;1;;;;4;;;0;0;0;0;0;0;1;0;0;0;;0;0
1327;884;"Zentralgrab";"Grabgrube [Orientierung SSW mit starker Tendenz nach N] mit schlecht erhaltenem Skelett mit Gürtelblech und Schlangenfibel S5, ""etwas außerhalb der heutigen Hügelmitte, doch dürfte der Hügel stark verschleift sein, so daß es sich doch wohl um das Zentralg";"2";2;14;2;;0,80;;4;;;0;0;0;0;0;0;0;0;0;0;;0;1
1328;942;"Grab";"Grube unter Kalksteinpackung; unter den Beigaben Holzreste; eher in s Hälfte Skelett mit auffällig eng beieinander liegenden Unterschenkeln, mit reichem Trachtschmuck";"2";2;5;2;3,00;1,50;0,50;2;;;0;0;0;0;0;0;1;0;1;0;1,00;0;3
1330;376;"Grab 3";"Grab, am n Hügelrand; keine Spuren von Grabgrube oder -einbauten, wenige Holzkohlenreste im Bereich des Skeletts; Skelett nur in Zahnresten erhalten; Perlen und Armring wohl in situ; ö der Bestattung mehrere Keramikgefäße";"3";3;5;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1330;2544;"Grab 1-2";"Wohl Grabkammer in Hügelmitte [Ausdehnung interpoliert]; im W Skelett, ö der Hand und im rechten Oberkörperbereich Leichenbrand, zugehörig wohl auch verbrannte Knochen im SW [wohl nicht gleichzeitig, aber genaue Beziehung unklar; entgegen Dietrich wäre na";"2";3;5;1;;;;2;2,20;1,90;1;0;0;0;0;0;0;0;0;0;;0;4
1330;2545;"Grab 4";"Ovale Grube, s der Hügelmitte [wohl ehemals am Hügelrand angelegt], mit runder Sohle; Grubenwände verziegelt, mit großem Stein abgedeckt; mit Holzkohle gefüllt, darin Leichenbrand und Keramik; s der Grube Scherbennester und Holzkohle; Zugehörigkeit nicht ";"3";3;5;2;0,40;0,30;;3;;;0;0;1;1;0;0;0;0;1;0;;0;0
1331;509;"Grab";"Skelett, wsw der Hügelmitte auf alter Erdoberfläche liegend [vermutlich eingetieft!?]; beiderseits des Kopfes und der Füße je 1 Pfostenloch (0,3 m tief), Rechteck von 2 x 1,2 m bildend [Funktion?]; rechts des Toten Eisendolch, rechts des Kopfes Eisenreste";"3";2;19;1;;;;2;;;0;0;0;0;0;0;0;0;0;0;;1;1
1332;567;"Grab";"Körperbestattung in der Hügelmitte; Skelett in Spuren erhalten; am rechten Oberarm Bronzestäbchen, in Beckengegend Eisenfragmente";"4";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;0
1338;887;"Grab 1";"Leicht eingetieftes Grab, durch Föhr-Grabung weitgehend zerstört, mit Holzresten der Grabkammerwand und Resten der überdeckenden Steinpackung";"2";3;5;2;;;;2;;;0;0;0;0;1;0;0;0;1;0;;0;0
1338;888;"Grab 2";"Etwas in alte Oberfläche eingetieftes Grab, direkt w der Zentralbestattung [Orientierung nach N mit starker Tendenz nach SSW]; mit einigen Holzspuren einer Grabkammer; übedeckt von Steinpackung (3 x 1,5 m), die zahlreiche Mahlsteine und Reiber enthielt; i";"3";2;5;2;3,00;1,80;;2;;;0;0;0;0;0;0;1;0;1;0;2,25;0;0
1338;889;"Grab 3";"Grab mit geringen Holzresten [Orientierung WSW mit starker Tendenz nach W], darin schlecht erhaltenes Skelett";"3";2;12;1;;;;4;;;0;0;0;0;0;0;1;0;0;0;;0;0
1338;890;"Grab 4";"Grab mit schlecht erhaltenem Skelett; ""Unter dem Skelett wie auch über das Skelett hinweg ziehend zeigen sich verschiedentlich Holzreste, so daß mit einer Holzgrabkammer zu rechnen ist.""";"3";2;5;1;;;;2;;;0;0;0;0;0;1;1;0;0;0;;0;0
1338;891;"Grab 5";"Grab mit schlecht erhaltenem Skelett; ""Um das Skelett zeigen sich an einzelnen Stellen Holzreste, wohl von der Umrahmung der Holzgrabkammer. Am Fußende liegen einige Steine. Beigaben sind nicht vorhanden.""";"3";2;12;2;;0,80;;2;;;0;0;0;0;1;0;0;0;0;0;;0;0
1338;892;"Grab 6";"Grab mit schlecht erhaltenem Skelett wohl eines Kindes; u. a. Frühlatènefibel";"3";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1339;893;"Grab 1";"Grabgrube mit Körperbestattung und einigen Grabbeigaben; ""Im Profil ist zu erkennen, daß der Aushub rings um die Grabgrube gelagert wurde. An der senkrechten Ostwand der Grube scheint nachträglich ein Keil gewachsenen Bodens abgerutscht zu sein. Holzspure";"2";2;5;2;3,00;1,80;0,90;4;;;0;0;0;0;0;0;1;0;0;0;;0;3
1339;894;"Grab 2";"Eingetiefte Grabgrube [Orientierung nach N mit Tendenz nach NNW] mit Skelett im Zentrum mit Beigaben; auf Höhe des Schädels allerdings auch überzählige Zähne eines infans I-Individuums; ""Im Profil ist zu sehen, daß die noch in der Hügelschüttung liegende,";"3";2;5;2;2,80;1,30;0,30;2;;;0;0;0;0;0;0;1;0;0;0;;0;3
1339;895;"Grab 3";"Reste einer Körperbestattung n von Grab 1, bei Anlage von Grab 4 zerstört";"3";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;0
1339;896;"Grab 4";"Körperbestattung n von Grab 1, störte Grab 3, mit Trachtschmuck";"3";2;9;2;;;0,30;4;;;0;0;0;0;0;0;0;0;0;0;;0;2
1339;897;"Grab 5";"Grab knapp unter der Oberfläche, ssö von Grab 1; nur noch wenige Knochen und Beigaben in situ";"3";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1339;898;"Grab 6";"Bronzeringfragmente knapp unter der Oberfläche, evtl. Reste einer Bestattung";"4";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1339;899;"Grab 7";"""Direkt in der NO-Ecke des Schachtes von Grab 1 und im Horizont der alten Oberfläche lage ein Schädel ohne Unterkiefer ..., dicht dabei eine Bronzenadel. Reste eines zerstörten Grabes.""";"3";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;3
1339;900;"Grab 8";"""In Höhe der alten Oberfläche und im mittleren Bereich des Schachtes von Grab 1 lagen im Abstand von 0,25 m voneinander eine Bronzefibel und zwei Eisenteile. Vermutlich Reste eines völlig zerstörten Grabes.""";"3";3;9;1;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;0
1340;247;"Grab";"Bis in gewachsenen Boden eingetiefte Grabgrube; alt beraubt; keine menschlichen Reste, keine Funde";"1";3;14;2;2,60;1,60;0,40;2;;;0;1;0;0;0;0;0;0;0;0;;0;2
1341;1057;"Grab 10";"Eingetiefte Körpernachbestattung, ca. 1 m ""unterhalb"" der Hügelmitte; teilweise unerkannt zerstört; Skelettreste, sicher beigabenlos";"3";2;9;2;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;2
1341;1058;"Grab 2";"Körpernachbestattung, zentral in Hügel bis in uk-zeitliche Schicht eingetieft, dabei größten Teil von Grab 1 zerstörend, selbst aber wieder durch Grab 3 fast vollkommen zerstört; wenige Skelettreste und wahrscheinlich zugehörige Keramik";"3";3;9;2;;;;4;;;0;0;0;0;0;0;0;0;0;0;;0;2
1341;1059;"Grab 3";"Zentral in Hügel eingetiefte Körpernachbestattung, dabei Gräber 1 und 2 zerstörend; unter einer Steinpackung Reste eines Holzeinbaus aus Bodenlage aus dicht nebeneinander liegenden Brettern und - parallel im Abstand von 0,4 m dazu - Längsbrettern, auf den";"3";2;4;2;3,50;1,70;1,80;1;2,60;1,30;0;0;0;0;1;1;1;0;1;0;;1;3
1341;1060;"Grab 4";"Grube, am ö Hügelrand; dunkle Verfärbung zeigt vermutlich Holzkammer an; keine Skelettreste erhalten; am sö Grubenrand Keramikgefäß, weiteres in n Hälfte";"3";2;19;2;2,60;;;2;2,25;0,60;0;0;0;0;0;0;0;0;0;0;;0;2
1341;1061;"Grab 5";"Grube, ca. 5 m n der Hügelmitte eingetieft, nur teilweise erfaßt (L. mind. 1,7 m); inkohlte Holzspuren nachgewiesen; geringe Skelettreste, im W Grubenteil Ring";"3";2;19;2;;1,20;1,10;2;;;0;0;0;0;0;0;0;0;0;0;;0;2
1341;1062;"Grab 6";"Grube, 8 m nö der Hügelmitte in Hügelschüttung eingetieft; Reste von Holzkammer; keine menschlichen Reste; im SO Eisenstift, in N-Ecke Keramikgefäß";"3";2;19;2;2,50;1,20;1,00;1;;;0;0;0;0;1;1;1;0;0;0;;0;2
1341;1063;"Grab 7";"Grube, 7,5 m sw der Hügelmitte; teilweise unerkannt abgegraben; einzelner menschlicher Knochen, keine Beigaben";"3";3;19;2;;;0,70;4;;;0;0;0;0;0;0;0;0;0;0;;0;2
1341;1064;"Grab 8";"Grube, 8 m onö der Hügelmitte an der Peripherie eingetieft; Grubengrenze kaum zu erkennen, dafür zeichnete sich aber Sargfüllung deutlicher ab; keine menschlichen Reste; im N Keramikgefäß";"3";2;19;2;;;0,50;1;1,80;0,60;0;0;0;0;0;0;0;0;0;0;;0;2
1341;1065;"Grab 9";"Modern durch Raubgraben gestörtes Grab, 6 m ö der Hügelmitte";"3";3;9;1;;;;4;;;0;1;0;0;0;0;0;0;0;0;;0;3
1341;2933;"Grab 1";"Weitgehend zerstörte Grabkammer der Erstbestattung [Ausmaße nach Wamser interpoliert], evtl. auf einer ""Brandtenne"" angelegt; in situ noch 2 Keramikgefäße an O-Wand und Schweineknochen in SW-Ecke; Leichenbrand in Verfüllung von Grab 3 und dabei Eisenring ";"2";3;13;3;;;0,00;1;3,30;2,00;0;0;0;0;1;0;0;0;0;0;;0;0
1342;248;"Grab";"Ebenerdig angelegte Grabkammer, ca. 2 m sw der Hügelmitte (Erstbestattung?), die sich durch sandige Schicht (wohl hereingesickertes Material) abzeichnete; keine menschlichen Reste erhalten (wohl Körperbestattung); im O Bronzekessel und 2 aufeinander liege";"4";2;7;3;;;0,00;1;2,10;1,20;0;0;0;0;0;1;1;0;0;0;;0;1
1343;1066;"Grab 5";"Nur schwach erkennbare Grube, ö der Hügelmitte, bis leicht in gewachsenen Boden eingetieft und den vermutlich zu Grab 1 gehörenden Doppelkreisgraben überschneidend; Skelett nur von Hüfte abwärts erhalten, Füße leicht angewinkelt; Arm- und Beinringe [sekun";"3";2;19;2;;;;4;1,90;1,10;0;0;0;0;0;0;0;0;0;0;;0;3
1343;2920;"Grab 1";"Hölzerne Grabkammer [Orientierung nach SW mit starker Tendenz nach WSW], wohl auf dem Hügelfuß von Grab 2 auf einer Planierschicht errichtet; vom Boden waren Reste von Quer- und Längszügen erhalten; ""Bretter überkreuzten sich an ihren Enden, die Kasteneck";"3";2;6;4;;;0,25;1;1,80;1,40;0;0;0;0;0;0;1;0;0;0;;0;0
1343;2921;"Grab 2";"Durch ""urnenfelderzeitliche"" Kulturschicht bis in gewachsenen Boden (T. 0,35-0,4 m) eingetiefte rechteckige Grube mit steilen Wänden [Orientierung nach NW mit starker Tendenz nach WNW; nach Aufdermauer vermutlich Erstbelegung des Hügels], die von einer in";"2";2;4;2;1,60;1,10;0,38;2;1,60;1,10;0;0;0;1;0;1;0;0;0;0;;1;0
1343;2922;"Grab 4";"Durch ""urnenfelderzeitliche"" Kulturschicht bis in gewachsenen Boden eingetiefte fünfeckige Grube ssö von Grab 1 und 2, die von einer inkohlten Balkenlage abgedeckt war (allerdings dürftiger als bei Grab 2; keine Hinweise auf Holzeinbauten in der Grube); U";"2";2;9;2;1,50;1,20;0,50;2;1,50;1,20;0;0;0;1;0;1;0;0;0;0;;1;0
1344;249;"Grab";"Ebenerdig angelegte Grabkammer [Orientierung nach NNW mit sehr starker Tendenz nach N], von der zahlreiche inkohlte Holzreste erhalten waren; keine menschlichen Reste oder Beigaben erhalten; Grab im oberen Bereich gestört, nach Wamser wohl antik geplünder";"2";3;13;3;;;0,00;1;2,90;1,20;0;1;0;0;0;1;1;0;0;0;;0;2
1346;1067;"Grab 1";"Zentrale, bis 0,4 m in gewachsenen Boden eingetiefte Körpernachbestattung [dann kann Hügel ja nicht allzu hoch gewesen sein]; Skelett weitgehend vergangen; in NW-Ecke 2 Keramikgefäße, im Brustbereich Bronzeringchen; in der Grubenfüllung zahlreiche uk-zeit";"3";2;15;2;2,40;1,40;;2;;;0;0;0;0;0;1;0;0;0;0;;0;2
