"Katalognummer";"Fundplatznummer";"Fundplatzcharakter";"Fundplatzbeschreibung";"X";"Y";"Lokalitätsnummer";"Gemarkung";"Flurname";"Hügelzahl";"Publikationsqualität";"Objektlokalisation";"Ältere_Hallstattzeit";"Jüngere_Hallstattzeit";"Neolithikum";"Bronzezeit";"Urnenfelderzeit";"Latènezeit";"Römische_Kaiserzeit";"Frühmittelalter";"Mittelalter";"Neuzeit"
200;3002;1;"Gruppe von mindestens 4 Hügeln, auf einem leicht in W-O-Richtung geneigten Höhenrücken, 1500 m onö von Ort; Notbergung in einem Hügel 1987 (sehr kleiner Grabungsausschnitt): Brandbestattung auf leicht angeziegeltem Boden";3561000;5365000;77;"Sonderbuch";"'Schlaghau' ('Hessen')";4;3;1;0;0;0;0;0;0;0;0;0;0
201;2671;1;"Gruppe von 3 Hügeln, 1500 m ssö von Ort; Grabung um 1960, daraus Bronzefibel";3566000;5363000;78;"Arnegg";"Wald 'Birkenreis'";3;3;1;0;1;0;0;0;0;0;0;0;0
202;103;1;"Gruppe mit mindestens 3 Hügeln, 3000 m ssw von Tomerdingen (1 Hügel auf Gmgk. Bermaringen); Einebnung eines Hügels 1885, Grabung eines weiteren 1928; auch römerzeitliche Funde";3565000;5370000;78;"Bermaringen/Dornstadt-Tomerdingen";"Wald 'Blumenhau'";3;3;1;0;0;0;0;0;0;1;0;0;0
203;509;2;"Grabhügel, 300 m nö von Weidach; Grabung 1932 oder 1933; Steinhügel";3566000;5368000;78;"Herrlingen (Weidach)";;;3;1;0;1;0;0;0;0;0;0;0;0
204;510;1;"Gruppe von ehemals angeblich 9 Hügeln, 1000 m wnw von Ort; Grabungen 1852 von Aberle";3563000;5362000;78;"Markbronn";"'Heidäcker', Waldabt. 'Vorderer Birkhau'";9;3;1;0;1;0;0;0;0;0;0;0;0
205;1651;1;"Gruppe von 9 verebneten Hügeln, 2500 m sö-ssö der Kirche von Ort; H. Dietrich konnte bei einer Begehung 1987 hallstattzeitliche Scherben auflesen; Dm. 7-15 m, H. 0,3 m; Luftbild: 07.04.86, 7328/34-1.2; Literatur: OA LfD";3621000;5388000;1156;;"'Am dürren Mahd', 'Drittel'";9;3;1;0;0;0;0;0;0;0;0;0;0
206;1560;1;"Gruppe von etwa 24 Hügeln, ca. 900 m nnö der Kirche von Straßberg; die Hügel stehen in 2 Gruppen von ehemals 4 und 20 Hügeln, dazwischen sind 120 m Abstand. Grabungen wurden vorgenommen 1825, 1831 (2 Hügel), 1885 (3 Hügel), 1887 von C. Flacho (1 Hügel) un";3633000;5351000;80;;"'In der Leitach' (Waldabt. 'Hochäcker', 'Leitenberg')";24;3;1;0;1;0;1;0;0;0;0;0;0
207;2936;2;"Grabhügel, 2000 m n von Brunn, in der Autobahntrasse; 1965 durch Sandentnahme beschädigt, Notgrabung des LfD; vereinzelte bronze- und hallstattzeitliche Funde";3663000;5482000;1259;"'Brunn-Forst'";;;3;1;0;0;0;1;0;0;0;0;0;0
208;630;1;"Gruppe von 21 Hügeln, am s Rand des Neubaugebietes Roßdorf, etwa 3700 m ssö von Ort; Ausgrabung des LDA von 4 Hügeln 1971/1974";3525000;5385000;641;;"'Kirchert'";21;2;1;1;1;0;0;0;0;0;0;0;0
209;1392;2;"Grabhügel, ca. 1500 m ö der Kirche von Dankenfeld, genaue Fundstelle unbekannt; Zerstörung 1807; Grabhügel mit starker Steinpackung";3622000;5531000;987;"Dankenfeld";"ehem. Wald 'Taubenholz' Abt. 'Alter Keller'";1;3;0;1;1;0;0;0;0;0;0;0;0
210;2730;1;"Gruppe von 11 Hügeln, nö von Ort am Weg zum Höfelhof; Grabung 1835 (4 Hügel), 1890; auch hügelgräberbronzezeitliche Funde";3656000;5401000;2004;;;11;3;1;0;1;0;1;0;0;0;0;0;0
211;2731;1;"Gruppe von 18 Hügeln, nw von Ort, ö des Flachsberges; Grabungen 1834, 1879, 1885, 1888";3655000;5401000;2004;;"Wald 'Reisle'";1;3;1;0;0;0;0;0;0;0;0;0;0
212;2195;2;"Grabhügel; Grabung von Gaus 1914";3581000;5406000;1754;;"Waldabt. 'Grabhügel'";1;3;0;0;0;0;0;0;0;0;0;0;0
213;640;1;"Gruppe von 70 Hügeln, 1500 m ssw von Ort; Grabungen 1909 und 1928; in der Nähe Viereckschanze";3542000;5343000;657;;"Wald 'Langhau', 'Weitenwegteile'";70;3;1;0;1;0;0;0;0;0;0;0;0
214;1402;4;"Wohl Grabfund (Bronzearmring), 200 m s der Kirche von Obernburg; Auffindung um 1890 bei Baumaßnahmen";3511000;5523000;1021;;"'Badgasse Nr. 130'";;3;1;0;0;0;0;0;0;0;0;0;0
215;1639;1;"Gruppe von ehemals etwa 25 Hügeln, 1800 m osö der Kirche von Oberottmarshausen; eintägige Grabung 1889 von H. Goeringer (5 Hügel) [nach Kurz und Kossack 3 Hügel]. Die Hauptbestattungen sind hallstattzeitlich; ferner wurden eine latènzeitliche und eine röm";3640000;5345000;1148;;"'Leberbichel'";25;3;1;1;1;0;1;0;1;1;0;0;0
216;1640;1;"Gruppe von ehemals 8 Hügeln, 900 m sö der Kirche von Ort; 1892 gruben A. v. Rad und J. Richter einen davon aus (auf diesem steht heute ein Baum). Er enthielt eine Körperbestattung und Funde der Hallstattzeit; Luftbild: 1985, 7730/64-3; Literatur: OA LfD. ";3639000;5345000;1148;;"'Lechfeld'";8;3;1;0;0;0;0;0;0;0;0;0;0
217;1442;1;"Gruppe verebneter Hügel mit Brand- und Körpergräbern, ca. 1000 m w der Kirche in Ort; Auffindung 1975, Ausgrabung 1976";3577000;5528000;1097;;"'Pleichfelder Ebene'";;3;1;0;1;0;0;0;0;0;0;0;0
218;2635;1;"Wohl Grabhügelfeld, 200 m ssö der Kirche von Ort, am s Ortsrand [dem widerspricht allerdings Kartierung bei Stork 2004]; 2 Körperbestattungen, entdeckt 1918 und 1935; weitere Grabhügel (4 Grabstellen mit insgesamt 5 eingetieften Körperbestattungen) 150 m ";3782000;5403000;1955;;"'Herblfinger Straße'";;2;1;1;1;0;0;0;0;0;0;0;0
219;2807;1;"2 Gruppen von ehemals 50 Hügeln, nw von Ort, ca. 300 m auseinanderliegend; Grabungen 1833/34 und 1839, 1870; HaC-Funde";3689000;5350000;2049;;"'Fohlengarten', 'Hirschplan', 'Grasanger'";50;3;1;1;0;0;0;0;0;0;0;0;0
220;2667;1;"Gruppe von 13 Hügeln, 120 m sw bis 330 m w von Ort; Dm. 12-20 m, H. bis 0,8 m; wohl hallstattzeitlich";3767000;5411000;1981;"Rennerhof";"'Oberschneidinger Gemeindeholz'";13;3;1;0;0;0;0;0;0;0;0;0;0
221;1457;3;"Vermutlich Brandgrab der Hallstattzeit, ca. 1200 m nw der Kirche von Ort; Auffindung H. Koppelt 1968";3600000;5526000;1066;;"'Kleine Flur'";;3;1;0;0;0;0;0;0;0;0;0;0
222;1270;1;"Verebnetes Grabhügelfeld mit Brand- und Körpergräbern, 1600 m sö der Kirche von Ort; Auffindung W. Wagner und K. Bickert 1987. flächige Ausgrabungen 1988 und 1989 ohne Erreichung der Gräberfeldgrenzen; Gräber mit Steinpackungen und -kränzen";3592000;5585000;1046;;"'Struth'";;2;1;1;1;0;0;0;0;0;0;0;0
223;2194;1;"Gruppe von 16 Hügeln, 750 m osö von Ort [nach Zürn 1500 m sö]; Grabungen um 1900 in einem Hügel von Schultheiss Hager und Pfarrverweser Deufel; Brandplatte mit Steindecke; Lesefunde um 1980";3536000;5286000;1755;;"'Schlattholz'";16;3;1;1;0;0;0;0;0;0;0;0;0
224;2249;1;"Grabhügelfeld mit Brandgräbern, n der Bahnlinie, w der Walhallastraße, am nö Ortsrand; Grabung 1991; auch beigabenlose Hockerbestattungen; wohl von hier Lesefund ""rechts von der Bahn"" zwischen 1870 und 1873; auch Viereck- und Kreisgräben und Pfostenkreise";3732000;5431000;1418;;"'Langwiesfeld'";;3;1;0;1;0;0;0;0;0;0;0;0
225;2890;1;"Gruppe ehemaliger Hügel, ca. 650 m sw von Ort; Lit.: OA LfD";3756000;5322000;2091;"Großbergham";;;3;1;0;0;0;0;0;0;0;0;0;0
226;1525;1;"Verebnete Grabhügelgruppe, 3400 m s der Kirche St. Andreas in Ort; Keramikfunde der Urnenfelderzeit oder der Hallstattzeit; Auffindung durch Luftbild";3576000;5500000;1098;;"'Müllersacker'";;3;1;0;0;0;0;0;0;0;0;0;0
227;1500;1;"Brand- und Körpergräber, 1200 m nnö der Kirche in Ort; Befunde stark verpflügt. Notgrabung LfD 1988; auch 2 neolithische Hockergräber, Brandgräber der Urnenfelderzeit";3572000;5506000;1098;"Darstadt";"'Am Nußbaum'";;3;1;0;0;1;0;1;0;0;0;0;0
228;1519;1;"Gruppe von fünf Hügeln, 900 m nö der Kirche in Ort (3 verebnete Grabhügel im Acker, 2 erhaltene im Wald); Ausgrabung 1925 von Maurer";3577000;5505000;1098;"Kleinochsenfurt";"Waldabt. 'Bienenleite'";5;3;1;0;0;0;0;0;0;0;0;0;0
229;1520;2;"Verebneter Grabhügel, 1100 m s der Klosterkirche in Ort; entdeckt 1947; HaD-Funde";3574000;5501000;1098;"Tückelhausen";"'Am Brünnlein', 'Im Buck', 'Die Morgen'";;3;1;0;1;0;0;0;0;0;0;0;0
230;1521;2;"Verebneter Grabhügel, 1100 m n der Klosterkirche in Ort; Ausgrabung 1979; auch schnurkeramische Funde";3574000;5503000;1098;"Tückelhausen";"'Nikolausberg'";;3;1;0;0;1;0;0;0;0;0;0;0
231;1561;1;"Gruppe von ehemals 21 Hügeln, ca. 500 m w der Kirche St. Felicitas in Ort, Ausdehnung über 500 x 160 m Fläche; Dm. 13-32 m, H. 0,2-0,5 m; zum größten Teil wurden die Grabhügel bei Anlage des Freibades zerstört [ca. 1965]. Die übrigen konnten wegen zu hohe";3636000;5350000;80;;"'Schwedinger'";21;3;1;0;0;0;0;0;0;0;0;0;0
232;106;1;"Verebnete Gruppe von ehemals mindestens 18, über eine Fläche von ca. 300 x 150 m verstreute Grabhügeln, 1650 m sw-wsw der Kirche St. Felicitas in Bobingen, auf dem Fabrikgelände Hoechst AG w der Singold (7 Hügel auf Gemarkung Bobingen und 11 auf Gemarkung";3634000;5349000;80;"Bobingen, Wehringen";"'Hexenbergle'";18;1;1;1;0;0;0;0;0;1;0;0;0
233;625;1;"Gruppe von 28 Hügeln, 2500 m sw von Ort; Grabungen 1822 und 1836 von E. Paulus d. Ä. (je 1 Hügel), 1966-71 (12 Hügel), 1980 (5 Hügel) vom LDA; auch bronzezeitliche Bestattungen";3500000;5392000;81;;"Wald 'Brand'";28;1;1;0;1;0;1;0;0;0;0;0;0
234;1717;3;"Wohl Grabfund, ca. 1700 m onö der Kirche von Wasserburg (auf Pos.blatt 851 ist die Fundstelle bei der Kiesgrube Hochsträß eingetragen; der Bichel läge dann auf Gmkg. Wasserburg); Funde 1833, aus einem Grabhügel? 2 Tonnenarmbänder, 2 bronzene Armringe (nic";3549000;5270000;1195;;"'Bühl'";;3;1;0;1;0;0;0;0;0;0;0;0
235;511;1;"Mehrere Grabhügel, 1000 m n von Ort (teilweise Gmgk. Unterschneidheim-Zöbingen); daraus angeblich Keramik";3597000;5421000;90;"Baldern";"'Tiergarten' ('Hornberg')";;3;1;0;1;0;0;0;0;0;0;0;0
236;3016;1;"Gräberfeld, sö von Bopfingen, auf Fläche von 200 x 90 m; Grabung des LDA 1989, 1990, 1995; wohl weitgehend vollständig ausgegraben; Kreisgrabenanlage von 20 m Dm., Graben 1,5 m breit und 0,7 m tief; an n Seite 1,5 m breite Unterbrechung mit abgerundeten G";3601000;5413000;90;"Flochberg, Trochtelfingen";"'Industriegebiet Südost'";;2;1;1;0;0;0;1;0;0;0;0;0
237;115;1;"Gruppe von etwa 50 Hügeln, ca. 700 m w vom Hof 'Meisterstall'; Grabungen um 1830 und 1869 von Paulus, 1907 von Goessler (1 Hügel)";3599000;5417000;90;"Kerkingen (Hof Meisterstall)";"Wald 'Bückeleshau'/Flur 'Heid'";50;3;1;1;0;0;0;0;0;0;0;0;0
238;116;2;"Grabhügel, 1500 m w von Ort; entdeckt 1958 bei Drainagearbeiten und vom LDA ausgegraben; auch römerzeitliches Brandgrab";3595000;5411000;90;"Unterriffingen";"ehem. Wald 'Nasses Häule'";;2;1;1;0;0;0;0;0;1;0;0;0
239;2690;2;"Grabhügel, in der Nähe der Straße Bopfingen-Oberriffingen; daraus Keramik, geborgen von Frickhinger";3597000;5411000;90;"Unterriffingen";"Waldabt. 'Vogelbronnen'";;3;0;0;0;0;0;0;0;0;0;0;0
240;3029;2;"Grabhügel, am ö Fuß des 'Alten Berges', ö der Straße nach Mahlstetten; Lesefunde";3486000;5328000;753;;;;3;1;0;0;0;0;0;0;0;0;0;0
241;740;2;"Grabhügel, 500 m s von Ort, am nö Bergfuß; Grabung 1948 von Potschigmann; auch uk-zeitliche Funde (wohl UK-Brandgrab und 2 hallstattzeitliche Nachbestattungen)";3486000;5329000;753;;"'Alter Berg'";;3;1;1;1;0;0;1;0;0;0;0;0
242;2746;1;"Mehrere Grabhügel, 1200 m ssö von Ort; 1 Hügel beim Straßenbau angeschnitten";3486000;5328000;753;;"'Winkel'";;3;1;0;0;0;0;0;0;0;0;0;0
243;3076;2;"Grabhügel mit Körperbestattung";3405000;5327000;2202;;;;4;0;0;0;0;0;0;0;0;0;0;0
244;120;1;"Gruppe von mindestens 9 Hügeln, 800 m ssö vom Ahornhof; Grabungen 1876 von Pfarrer Wölfle und Bezirksarzt Großmann (2 Hügel) und 1880 von dessen Sohn (1 Hügel); H. 12-18 m, Dm. 1-1,5 m";3543000;5489000;94;"Kupprichhausen (Ahornhof)";"Wald 'Hainbach'";9;3;1;0;0;0;0;0;0;0;0;0;0
245;3017;1;"Gräberfeld; Grabung 1996/97; uk-zeitlicher Grabhügel mit Kreisgraben und weiteren Bestattungen; Kreisgraben wird durch den eines hallstattzeitlichen Hügels geschnitten, dabei auch weitere Bestattungen unter Steinpackungen [Vorbericht leider zu oberflächig";3460000;5310000;96;;"'In Niederwiesen'";;3;1;1;1;0;0;1;0;0;1;0;0
246;121;1;"Gruppe von mind. 39 Hügeln, 1000 m s von Ort; Grabungen 1605 von Hans von Schellenberg, 1844 von Fickler, vor 1845 von Prof. Schreiber, 1845 vom Altertumsverein Donaueschingen und 1876/77 von C. F. Mayer; Körperbestattungen; HaC-D2";3455000;5309000;96;"Waldhausen";"'Kapf', 'Windistelle'";39;3;1;1;1;0;0;0;0;0;0;0;0
247;3071;2;"Körperbestattung (wohl unter Grabhügel), 500 m von den Hügeln am 'Kapf' entfernt; entdeckt 1935";3455000;5309000;96;"Waldhausen";"'Weißwald', Abt. 'Saubühl'";;3;0;0;0;0;0;0;0;0;0;0;0
248;2714;1;"Gruppe von mindestens 5 Hügeln, 900 m wnw von Ort; Grabungen von W. Hammer und um 1920; evtl. hieraus HaD-Funde";3557000;5454000;1996;"Jungholzhausen";"Wald 'Wildgarten'";5;3;1;0;1;0;0;0;0;0;0;0;0
249;3079;3;"Körperbestattung, ca. 900 m ssw von Kirche von Ort; entdeckt 1897 beim Bau einer Rübenmiete; Hohlblechringe und Schwanenhalsnadeln; Lit.: Bad. Fundber. 1, 1925-28, 307f.";3398000;5320000;97;"Gündlingen";"'Bohningerweg'";;3;1;0;0;0;0;0;0;0;0;0;0
250;123;1;"Gruppe von noch 12 Hügeln (weitere Hügel zerstört), ca. 1000 m s von Ort; Grabungen 1830 von Schreiber (5 Hügel), 1880/1885 von Wagner (3 Hügel); auch spät-uk- und frühlatènezeitliche Funde; HaC-D1; u. a. Bronzeschwert";3398000;5319000;97;"Gündlingen";"'Fohrenwald' ('Heid', 'Brandholz')";12;2;1;1;0;0;0;1;1;0;0;0;0
251;122;2;"Einzelner Grabhügel ('Zwölferbuck'), knapp 1000 m osö von Ort; Grabungen vor 1888 von Wagner; mit Sekundärhügel; Lit.: Korrbl. Westdt. Zeitschr. Gesch 7, 1888, 258ff. Nr. 172";3400000;5320000;97;"Gündlingen";"'Zwölferholz'";1;3;1;1;0;0;0;0;0;0;0;0;0
252;124;1;"Gruppe von mindestens 32 Hügeln (heute in 2 Untergruppen gegliedert), s von Ihringen (beiderseits der Markungsgrenze zwischen Güdlingen und Ihringen); Grabung um 1880 (1 Hügel), 1888 von Wagner (1 Hügel), Fundbergung 1897, Grabung 1905/06/07 von Fischer (";3398000;5323000;97;"Gündlingen, Ihringen";"'Ried' ('Löhbücke')";32;2;1;0;1;0;1;1;1;0;0;0;0
253;125;2;"Einzelner Grabhügel, 2500 m nw von Ort; Grabungen Anfang des 19. Jh.s von Pfarrer Baumann, 1893 von Forrer und 1969 vom LDA; dabei zahlreiche tangential angelegte Nachbestattungen festgestellt; angeblich Hügel vor 1930 von Steinstele bekrönt; angeblich Ha";3398000;5318000;97;"Oberrimsingen";"'Bernetbuck'";1;2;1;1;1;0;0;0;1;0;0;0;0
254;126;1;"Gruppe von mind. 3 Hügeln, 2000 m wnw von Ort; Grabung 1893 von Forrer (2 Hügel)";3398000;5317000;97;"Oberrimsingen";"'Waldeck'";3;3;1;0;1;0;0;0;0;0;0;0;0
255;2135;1;"Gruppe von Hügeln, nicht mehr sicher zu lokalisieren; Grabung von J. Naue (oder Mittelsmännern) 1890; bronze-, hallstatt- und latènezeitliche Funde";3692000;5442000;1366;;;;3;0;0;1;0;1;0;1;0;0;0;0
256;2149;1;"Gruppe von 107 Hügeln, 2100 m n von Ort und 300 m ö von Hohenbügl; Grabungen von J. Naue (oder Mittelsmännern) 1890 und 1891 in angeblich 17 Hügeln; bronze-, hallstatt- und latènezeitliche Funde; Dm. 7-25 m, H. 0,2-2,5 m";3689000;5444000;1366;"Hohenbügl";;107;3;1;1;1;0;1;0;1;0;0;0;0
257;2266;1;"Gruppe von mindestens 10 Hügeln, 600-660 m osö von Ort und etwas 300-375 m nö von Pkt. 490; Grabungen 1892 von J. Naue (oder Mittelsmännern) in angeblich 2 Hügeln; 5 große Hügel, davon 4 angegraben; bronze- und hallstattzeitliche Funde";3691000;5439000;1366;"Premerzhofen";"'Nagelfurth'";10;3;1;1;0;0;1;0;0;0;0;0;0
258;813;1;"Gruppe von 3 Hügeln, 200 m s des Ostausganges von Unter-Oberndorf; ein Grabhügel angetrichtert, einer 1924 untersucht (HaC, nach Ettel HaD)";3637000;5540000;803;;"'Im oberen Gehäu'";3;3;1;0;0;0;0;0;0;0;0;0;0
259;128;1;"Vermutlich Gruppe mehrerer Grabhügel (2 nachgewiesen), 3000 m wnw von Ort; Angrabung eines Hügels 1975, Untersuchung 1980/1; angeblich auch frühmittelalterliche Gräber";3457000;5320000;99;"Überauchen";"'Eggwald'";2;2;1;0;1;0;0;0;0;0;1;0;0
260;2629;3;"Wohl Brandgrab, nicht näher lokalisierbar";3471000;5443000;100;;;;3;0;1;0;0;0;0;0;0;0;0;0
261;2937;1;"Gruppe von ehemals mehr als 50 Hügeln, ca. 1000 m wnw der Kapelle von Bruckbergerau und ca. 2125 m sw der Kirche von Gündlkofen, beiderseits der Bahnlinie; Zerstörungen mit Funden wohl beim Bahnbau 1858, Grabungen 1984 (2 Hügel), 1985 (6 Hügel), 1988 (12 ";3722000;5380000;2110;;"'Mooswiesen'";50;2;1;1;1;0;0;0;0;0;0;0;0
262;2755;1;"Gruppe von 5 Hügeln (heute zerstört), nw von Ort, nicht genau zu lokalisieren; daraus angeblich Fibeln und Nadel";3717000;5309000;2015;;;5;3;0;0;1;0;0;0;0;0;0;0;0
263;2756;4;"Wohl Grabfund, evtl. Grabhügel, im Ortsbereich; 1941 Reste eines Bronzegefäßes entdeckt";3720000;5307000;2015;"Götting";"'Landhaus Braßler'";;3;1;0;0;0;0;0;0;0;0;0;0
264;2757;1;"Gruppe von 12 Hügeln, hart ö des Hofes Unterleiten; Grabung 1886 von Fr. Weber, 1891 vom Hist. Ver. Miesbach, 1903 von Pfarrer Knabl, 1920 von Gandtner und 1920/21 vom LfD; Lit.: Germania 8, 1924, 94";3720000;5306000;2015;"Unterleiten";;12;3;1;0;1;0;0;0;0;0;0;0;0
265;2136;1;"Gruppe von ehemals mindestens 44 Hügeln, 1000 m onö von Ort und 300 m n bis 400 m onö von Pkt. 481,5; Funde größtenteils bronzezeitlich, eine hallstattzeitliche Nachbestattung bei Grabung des Hist. Ver. Regensburg 1902/1903 entdeckt";3713000;5444000;1367;;"Privatwälder 'Brandholz', 'Lerchenschlag', Staatswald-Distrikt 'Steinberg', Abt. 'Lerchenschlag', 'Gerbsberg'";44;3;1;0;0;0;1;0;0;0;0;0;0
266;1768;3;"Brandgrab, 1100 wsw der Bubenreuther Kapelle; gefunden 1955 von Studienrat Schauer bei Entnahme von Bausand; in der Nähe weitere Scherben";3645000;5500000;1224;;;;3;1;0;0;0;0;0;0;0;0;0;0
267;1563;1;"Gruppe von etwa 22 Hügeln, 2000 m ssw der Kirche von Ort; 1970 wurden ausgepflügte Scherben der Stufe Hallstatt C aufgelesen (Pätzold). Früher sollen auch im anschließenden Wald Grabhügel gewesen sein; Luftbild: 28.03.86, 7526/105; Literatur: OA LfD. - Bo";3592000;5365000;102;;"'Am Bannholz', 'Beim Brückle'";22;3;1;1;0;0;0;0;0;0;0;0;0
268;1562;1;"Gruppe von etwa 35 Hügeln, 1150 m wsw der Kirche von Ort; einige der Hügel wurden 1887 ausgegraben, wobei auch eine urnenfelderzeitliche Bestattung angetroffen wurde. 2 Hügel wurden beim Autobahnbau 1936 ausgegraben und waren hallstattzeitlich. 1970 unter";3592000;5366000;102;;"'Holzegart', 'Oberm Remshard' ('Justing-Nordost')";35;1;1;1;0;0;0;1;0;0;0;0;0
269;687;2;"Gruppe von 3 Hügeln, 1000 m sw von Ort, rechts der Straße nach Böttingen bei Pkt. 940,6; 1932 Abtragung eines Hügels beim Straßenbau; Lit.: Fb. Schwaben N. F. 7, 1930/32, 30";3487000;5330000;754;;"'Schnarz'";3;3;1;1;1;0;0;0;0;0;0;0;0
270;3036;1;"Gruppe von 4 Hügeln, 1000 m s von Ort (1 Hügel 250 m abseits); Keramiklesefunde von Oberlehrer Reiser vor 1951, angeblich hallstattzeitlich; Lit.: Fundber. Schwaben N. F. 11, 1938-1950 (1951) 68";3487000;5331000;754;;"'Wasserstall', 'Sandbühl'";4;3;1;0;0;0;0;0;0;0;0;0;0
271;2650;1;"Gruppe von ehemals über 100 Hügeln, 1400 m onö von Ortskirche; Grabungen 1865 von Spanfehlner (Hist. Ver. Ndb.) (3 Hügel), 1911 von Maurer (2 Hügel) und von Pollinger (3 Hügel); HaC- und HaD-Funde";3726000;5372000;1967;"Großaibacherforst";;100;3;1;1;1;0;0;0;0;0;0;0;0
272;2899;1;"Gruppe von etwa 50 Hügeln auf 1000 x 400 m, w von Ort, unmittelbar ö der Staatsstraße 2082; Grabungen seit 1980, weitere Grabung 1993 (ohne Befunde + Funde), 1994 (4 Hügel), Lesefunde 1997, notdürftige Notgrabung 1998, weitere Grabungen 2000, 2001; restli";3723000;5374000;1967;"Niedererlbach";"'Stünzbach'";50;2;1;1;1;0;1;1;1;1;0;0;0
273;1483;3;"Wohl Brandgrab, 400 m nö der Kirche von Buchbrunn; Auffindung L. Tränkenschuh 1969 bei Baumaßnahmen";3582000;5515000;996;;"
";;3;1;0;0;0;0;0;0;0;0;0;0
274;1481;1;"Gruppe verschleifter Hügel (mindestens 8), 700 m ö der Kirche von Buchbrunn; Notgrabungen 1969, 1971 vom LfD (3 Hügel), weitere Gräber (1 Körperbestattung, 8 Brandgräber) 2001-2002; HaD-Funde, auch schnurkeramische Bestattungen; Hügel mit Steinkränzen und";3582000;5514000;996;;"'Kletterberg', 'Am Schelm'";8;3;1;0;1;1;0;0;0;0;0;0;0
275;133;1;"Gruppe von 4 Hügeln, am W-Hang 1300 m wsw von Ort (1 Hügel etwas abseits); Grabung 1897/98 von K. Schumacher";3525000;5482000;104;"Eberstadt";"Wald 'Platte'";4;3;1;1;0;0;0;0;0;0;0;0;0
276;135;2;"Offenbar einzelner Grabhügel, 2000 m wsw von Ort, im Wald am ö Hang des 'Hohbergs' [bei Kurz wohl irrtümlich 'Hemberg'], Grabung 1895 von Schumacher";3527000;5484000;104;"Götzingen";"Wald 'Buchenberg', auf dem 'Hohberg'";1;3;1;0;0;0;0;0;0;0;0;0;0
277;134;2;"Offenbar einzelner Grabhügel, 1100 m ssö von Ort; Grabung 1894 von Schumacher";3529000;5483000;104;"Götzingen";"Wald 'Hemberg'";1;3;1;0;0;0;0;0;0;0;0;0;0
278;136;2;"Offenbar einzelner Grabhügel, 2200 m ssw von Ort (in Literatur auch unter 'Götzingen' geführt); Grabung 1894 von Schumacher";3526000;5485000;104;"Hettingen";"Wald 'Breitenbüschle'";1;3;1;0;1;0;0;0;0;0;0;0;0
279;139;1;"3 nahe nebeneinanderliegende Grabhügelgruppen mit mindestens 22 Hügeln, ssw von Ort (teilweise im Wald 'Tannenbrunnen', Worndorf, Gem. Neuhausen ob Eck); Grabungen in den einzelnen Hügeln nicht mehr sicher zuzuweisen; Grabungen vor 1868, 1881 von Landwirt";3498000;5317000;105;;"beim Wolfegghof ('Schönenen', 'Wolfegg')";22;3;0;1;1;0;0;0;0;0;0;0;0
280;137;1;"Gruppe von 12-13 Grabhügeln, ö von Ort; Ausgrabungenum 1830 von Pfarrer Eitenbenz, 1898 von Schumacher";3501000;5320000;105;;"'Burstwiesen'";12;3;1;0;1;0;0;0;0;0;0;0;0
281;138;1;"Gruppe von über 20 Grabhügeln, sw von Ort auf nach S hin abfallendem Gelände; Grabungen 1898 von Schumacher (13 Hügel); vor allem uk-zeitliche Funde, HaC2-D1";3498000;5317000;105;;"Wald 'Langezug'";20;3;0;1;1;0;0;1;0;0;0;0;0
282;1301;2;"Grabhügel (völlig zerstört), genaue Fundstelle unbekannt; Ausgrabung G. Hock 1907; auch Funde der jüngeren Bronzezeit und Nachbestattung der Frühlatènezeit";3608000;5564000;983;"Kimmelsbach";"'Komerlohe'";;3;0;0;0;0;1;0;1;0;0;0;0
283;2732;1;"Gruppe von 115 Hügeln, im sö Teil des Waldes; Grabungen 1834 (2 Hügel), 1841 (1 Hügel), 1898 (1 Hügel), 1938 (3 Hügel); auch spätneolithische und hügelgräberbronzezeitliche Funde";3651000;5398000;2003;"Biding";"Wald 'Oberschlag'";115;2;1;1;0;1;1;0;0;0;0;0;0
284;2729;1;"Gruppe von 28 Hügeln, onö von Ort am w Rand des Donaumooses [Angabe ""nw"" bei Kossack ist wohl falsch]; Grabungen 1832 (2 Hügel)";3655000;5396000;2003;"Dezenacker";;28;3;0;1;1;0;0;0;0;0;0;0;0
285;2733;1;"Gruppe von 34 Hügeln, im w Teil des Waldes; Grabung 1844 (4 Hügel)";3651000;5398000;2003;"Ortlfing";"Wald 'Oberschlag'";34;3;1;0;0;0;0;0;0;0;0;0;0
286;2734;1;"Gruppe von 15 Hügeln, im nw Teil des Waldes; Grabungen 1844, 1879 (je 2 Hügel)";3651000;5398000;2003;"Straß";"Wald 'Oberschlag'";15;3;1;0;0;0;0;0;0;0;0;0;0
287;2739;1;"Gruppe von 52 Hügeln, w von Ort am sö Rand des Öttinger Forstes; Grabungen 1830, Lesefunde eines wohl hallstatttzeitlichen Gefäßes 1985; auch bronze-, uk- und frühlatènezeitliche Funde";3778000;5345000;2010;"Gendorf";"'Brucker Holz'";52;3;1;1;1;0;1;1;1;0;0;0;0
